г.Узловая, Центральная ул., 7;
г.Алексин, Тульская ул., 131 А;32847
г.Алексин, Болотова ул., 10А;32847
г.Алексин, 50 лет Октября ул., 5;32847
г.Алексин, Ленина ул., 26;32847
г.Алексин, Арматурная ул., 10/16;32847
г.Алексин, Героев Алексинцев ул., 5;32847
г.Алексин, Пионерская ул., 16;32847
г.Алексин, 50 лет Октября ул, 8 кв.1-9,11-;32847
г.Алексин, Дружбы ул., 7;32847
г.Алексин, Ленина ул., 1;32847
г.Алексин, Южная ул, 9;32847
г.Алексин, Дубравная ул, 36;32847
г.Алексин, Пахомова ул, 11А;32847
рп.Арсеньево, Парфенова ул., 11/1;
с.Архангельское, Комсомольская ул., 16Б;
п.Бабынино, Центральная ул, 14;
г.Балабаново, 50 лет Октября ул, 7;60890
г.Балабаново, Лесная ул., 6;60890
г.Балабаново, Боровская ул., 56;60890
г.Балабаново, Московская ул., 21В;60890
г.Балабаново, 50 лет Октября ул., 24;60890
п.Барсуки, Микрорайон тер., 1;
с.Барятино, Советская ул., 22;
п.Бегичевский, Первомайская ул, 10А;
д.Бежка77;
г.Белев, Рабочая ул., 98А;19320
г.Белев, Октября пл., 5;
г.Белоусово, Гурьянова ул, 20/1;50460
г.Белоусово, Московская ул., 82;50460
г.Белоусово, Московская ул, 111;50460
п.Бетлица, Кирова ул, 25;
г.Богородицк, Урицкого ул., 25;32530
г.Богородицк, Заводской проезд, 6 А;32530
г.Богородицк, Пушкинская ул., 14;32530
г.Богородицк, Защитная ул., 6 А;32530
г.Богородицк, Коммунаров ул., 90;32530
г.Богородицк, Шахтная ул., 2 А;32530
г.Богородицк, Восточный мкр, 2;32530
г.Болохово, Соловцова ул., 13 В;
г.Боровск, Ленина пл., 30;50450
г.Боровск, Шувалова ул, 10А;50450
г.Боровск, Ленина ул., 76;50450
рп.Бородинский, Луговая ул., 32;
п.Брусянский, Пугачева ул, 4;
г.Венев, Бундурина ул., 7;29037
г.Венев, Южный мкр, 45;29037
г.Венев, Льва Толстого ул., 13;29037
п.Волово, Хрунова ул., 12 А;
п.Воротынск, Центральная ул., 3;42424
п.Воротынск, Придорожная ул., 13;42424
с.Ворсино, Лыскина ул., 22А п.1-13;
с.Воскресенское, Заводская ул., 12 А;
с.Гремячее, Новики ул., 12;
п.Грицовский, Первомайская ул., 21;
с.Дворцы, Федорова ул, 12;
с.Детчино, Московская ул, 2В;41911
с.Детчино, Московская ул, 73Б;41911
г.Донской, Октябрьская ул., 78/15;24766
г.Донской, Центральный мкр, Заводская ул., 9 А;24766
г.Донской, Новая ул., 64;24766
г.Донской, Центральный мкр, Октябрьская ул, 115;24766
г.Донской, мкр.Центральный, Красноармейская ул, 1Б;24766
г.Донской, Центральный мкр, Терпигорева ул, 2;24766
п.Дубна, Льва Толстого ул., 1 Б;
п.Дубовка, Щербакова ул., 7А;
п.Дубовка, квартал 5/15, Центральный перс.6;
п.Думиничи, Большая Пролетарская ул., 87;22197
п.Думиничи, Ленина ул., 44;22197
рп.Епифань, Колхозная ул, 1А;
г.Ермолино, Солнечная ул, 1А;36850
г.Ермолино, Мичурина ул., 40 пом.140;36850
г.Ефремов, Ленина ул., 29;26154
г.Ефремов, Тульское шоссе, 18 п.1-25;26154
г.Ефремов, Ленина ул., 40;26154
г.Ефремов, Интернациональная ул., 9;26154
г.Ефремов, Мира ул, 2А;26154
г.Ефремов, Комсомольская ул, 19;26154
г.Ефремов, Строителей ул, 22Б;26154
г.Ефремов, Дружбы ул., 4 А;26154
г.Ефремов, Короткова ул, 20;26154
г.Ефремов, Свердлова ул;26154
г.Богородицк, мкр.Жданковский, Клубная ул., 4;
г.Жиздра, Сосунова ул., 1;
