,ADDRESS,CITY,REGION,Postamat_daily,cashbox_daily,Postamat_trend,cashbox_MAX,cashbox_trend,hh_500,value1,value2,POPULATION,NEAR_Malls,NEAR_Business_centers,NEAR_metro_rjd,macro_salary_avg_yearly,Avg_check,coords,dist_to_closest_shop,dist_to_closest_postomat,dist_to_competitor,dist_to_post,NEAR_shops,NEAR_stops
0,"г.Калуга, Литейная ул., 25/15",калуга,Калужская область,,3.3,,13.0,1.0,7696.0,10099,3382,324698,0,0,0.0,423321,2.9861028976936725,"[54.531659, 36.268078, '01']",0.5606419927479993,0.5606419927479993,0.22961468735550994,6732.820120030588,49.79646112651457,36.06206814951127
1,"г.Калуга, Гагарина ул., 1",калуга,Калужская область,,,,,,6369.0,10068,3236,324698,1,1,0.0,423321,3.111248454882571,"[54.515732, 36.242368, '00']",0.4226250727165017,0.4510620462061144,0.28070624406619593,6730.138647244847,49.96654835219786,34.59871165435677
2,"г.Калуга, Кибальчича ул., 25",калуга,Калужская область,,3.1,,12.0,1.0,5553.0,10100,3436,324698,1,0,0.0,423321,2.939464493597206,"[54.580597, 36.249717, '01']",0.3637850833268157,0.3637850833268157,0.0666654652213374,6736.0784064848085,54.33589319594845,41.61899410700518
3,"г.Калуга, Пестеля ул., 60/49",калуга,Калужская область,3.0,2.2,0.0,12.0,1.0,7162.0,10099,3257,324698,0,0,0.0,423321,3.1007061713233037,"[54.510302, 36.283592, '11']",0.3384145821102695,0.3384145821102695,0.2779511871751856,6731.783582764353,47.506357749371496,33.57494821373282
4,"г.Калуга, Ленина ул., 81",калуга,Калужская область,1.0,2.0,0.0,9.0,1.0,6269.0,10096,3195,324698,1,0,0.0,423321,3.1599374021909235,"[54.512241, 36.263317, '11']",0.3529516949244606,0.3529516949244606,0.24723536236022553,6730.911554305697,48.662203571632,33.97451932990136
5,"г.Тула, Кутузова ул., 13",тула,Тульская область,,,,,,5023.0,10100,3484,482873,1,0,0.0,387679,2.8989667049368544,"[54.21284, 37.667644, '00']",0.7768900686205035,1.3360254525680517,1.4874535706971284,6778.649907348734,4.152802570633056,0.03962224652134408
6,"г.Калуга, Фридриха Энгельса ул., 78А п.1",калуга,Калужская область,,1.2,,6.0,1.0,7703.0,10088,3243,324698,0,0,0.0,423321,3.110699969164354,"[54.507902, 36.278166, '01']",0.08304050203374011,0.08304050203374011,0.4203728706893826,6731.299963522078,47.611564657037604,33.35555936763161
7,"г.Калуга, Московская ул., 104 стр.1",калуга,Калужская область,3.0,2.2,0.0,9.0,1.0,5632.0,10100,3403,324698,0,0,0.0,423321,2.967969438730532,"[54.523095, 36.264341, '11']",0.6942577840692808,0.6942577840692808,0.38863839234726144,6731.894566885283,49.369003061743726,35.15604728479413
8,"г.Тула, Демонстрации ул., 1А",тула,Тульская область,3.0,4.8,1.0,10.0,1.0,4583.0,10095,3235,482873,1,1,0.0,387679,3.1205564142194744,"[54.192369, 37.611563, '11']",0.4537969879063565,0.4537969879063565,0.2089143649163592,6773.962546369637,0.42474432896305236,0.08086548255459798
9,"г.Тула, Марата ул., 31 А",тула,Тульская область,2.0,,1.0,,,8732.0,10097,3197,482873,0,0,0.0,387679,3.158273381294964,"[54.202387, 37.646543, '10']",0.18462308113063253,0.18462308113063253,0.7072006323296193,6776.655278133155,2.547427044886803,0.17461381812879373
10,"г.Калуга, Суворова ул., 77",калуга,Калужская область,,3.2,,19.0,1.0,6487.0,10094,3194,324698,0,0,0.0,423321,3.1603005635566688,"[54.517802, 36.248378, '01']",0.38821886524622734,0.38821886524622734,0.20415747415063243,6730.623716239478,49.80226190077125,34.7504503081699
11,"г.Калуга, Ленина ул., 30",калуга,Калужская область,2.0,1.2,0.0,7.0,1.0,5156.0,10096,3228,324698,0,0,0.0,423321,3.127633209417596,"[54.527166, 36.272498, '11']",0.5752718003114297,0.5752718003114297,0.4813647706316507,6732.661135046402,49.25544550051924,35.527466557078625
12,"г.Тула, Степанова ул., 89 А",тула,Тульская область,,,,,,6686.0,10094,3187,482873,1,0,0.0,387679,3.167241920301224,"[54.203483, 37.642887, '00']",0.26719654480468497,0.26719654480468497,0.5923629428180802,6776.553709979826,2.32677637125633,0.12738920026296374
13,"г.Калуга, Победы пл, 10",калуга,Калужская область,,2.5,,14.0,1.0,9463.0,10014,3122,324698,0,0,0.0,423321,3.2075592568866114,"[54.511959, 36.274133, '01']",0.36658681774946233,0.36658681774946233,0.3862087099125719,6731.441183034019,48.09690995676666,33.83824813996043
14,"г.Тула, Кауля ул., 20/109",тула,Тульская область,6.0,,0.0,,,4112.0,10100,3475,482873,1,0,0.0,387679,2.906474820143885,"[54.17799, 37.631101, '10']",0.6062927079656493,0.6062927079656493,1.0129319959086602,6773.789748086231,2.4672715785413515,0.033798345950566244
15,"г.Калуга, Братьев Луканиных ул., 1 62",калуга,Калужская область,5.0,2.2,1.0,11.0,1.0,5232.0,10097,3278,324698,0,0,0.0,423321,3.0802318486882245,"[54.496191, 36.182577, '11']",0.8160987598394581,0.8160987598394581,4.553569595792506,6725.403840226964,51.8535746911224,33.498045957214444
16,"г.Тула, Пузакова ул., 1",тула,Тульская область,,,,,,7339.0,10085,3142,482873,0,0,0.0,387679,3.2097390197326545,"[54.218437, 37.623555, '00']",0.36596006878559323,0.36596006878559323,2.2782692837765235,6776.786092902718,2.279084179974769,0.08993844635805828
17,"г.Калуга, Мичурина ул., 11",калуга,Калужская область,,,,,,7552.0,10036,2945,324698,0,1,0.0,423321,3.4078098471986418,"[54.508336, 36.273944, '00']",0.254758717606317,0.254758717606317,0.26064023638022,6731.120937841293,47.854841697452095,33.441183109316846
18,"г.Тула, Октябрьская ул., 81",тула,Тульская область,7.0,,1.0,,,7054.0,10091,3043,482873,1,0,0.0,387679,3.316135392704568,"[54.215151, 37.62387, '10']",0.2738348031780975,0.6134345705985998,1.936238461680256,6776.526823629196,1.9720648553249545,0.2125432275422694
19,"г.Калуга, Пушкина ул., 3 п.68",калуга,Калужская область,,,,,,3773.0,10094,3114,324698,0,1,0.0,423321,3.241490044958253,"[54.512136, 36.244488, '00']",0.4226250727165017,0.6782216340705864,0.20089361774290834,6729.938750241981,49.61422928784021,34.17976026622165
20,"г.Тула, Болдина ул., 98",тула,Тульская область,,,,,,5082.0,10042,3003,482873,1,1,0.0,387679,3.3439893439893438,"[54.172388, 37.573923, '00']",0.5175632018613441,0.5716685841650836,1.0762229425065755,6770.292641364141,3.3736888238596214,0.09971538115678716
21,"г.Обнинск, Маркса пр-кт, 34",обнинск,Калужская область,,,,,,4982.0,10087,3159,104739,0,1,0.0,423321,3.1930990819879708,"[55.115311, 36.595002, '00']",0.28440929467659537,0.28440929467659537,0.21197479983015924,6799.541644686223,57.215140165375985,53.422337404168886
22,"г.Обнинск, Энгельса ул., 17",обнинск,Калужская область,,,,,,7836.0,10054,3075,104739,0,0,0.0,423321,3.2695934959349593,"[55.118822, 36.607722, '00']",0.37119268417968504,0.37119268417968504,0.38165281652583455,6800.489502287223,56.83378214302689,53.00820365426669
23,"г.Обнинск, Маркса пр-кт, 79",обнинск,Калужская область,,3.5,,13.0,1.0,7490.0,10096,3054,104739,0,0,0.0,423321,3.3058284217419778,"[55.121886, 36.605405, '01']",0.37119268417968504,0.4947170654768833,0.6885339259866227,6800.634366454417,57.16451350804574,53.331908996172466
24,"г.Обнинск, Аксенова ул, 16",обнинск,Калужская область,,4.399999999999999,,14.0,1.0,6109.0,10048,2978,104739,1,1,0.0,423321,3.374076561450638,"[55.116557, 36.61596, '01']",0.4276953067964277,0.4276953067964277,0.20721963970999582,6800.71432659408,56.269584366802356,52.43881000904349
25,"г.Тула, Макаренко ул., 9 Б",тула,Тульская область,,,,,,6469.0,10061,3010,482873,1,0,0.0,387679,3.3425249169435216,"[54.167144, 37.568524, '00']",0.47207548886072076,0.7400648061777363,1.0744969807213063,6769.566473628468,4.046742184524501,0.13492445561904426
26,"г.Калуга, Секиотовское кольцо ул, 5",калуга,Калужская область,,0.4,,3.0,1.0,237.0,10100,3205,324698,1,0,0.0,423321,3.151326053042122,"[54.468474, 36.237589, '01']",1.3194110613106356,1.3194110613106356,0.9838734349912466,6725.841700519837,47.19681730688678,29.53848240284774
27,"г.Калуга, Советская ул., 118Б",калуга,Калужская область,,1.3,,7.0,0.0,1734.0,10098,3194,324698,1,0,0.0,423321,3.1615529117094554,"[54.515048, 36.352619, '01']",1.2942550764019856,1.2942550764019856,3.2142724679220835,6735.727960417519,44.50171015687944,33.84936230372448
28,"г.Калуга, Максима Горького ул., 41",калуга,Калужская область,,1.6,,10.0,1.0,8197.0,9992,2831,324698,0,0,0.0,423321,3.5294948781349347,"[54.512382, 36.279765, '01']",0.24593267150509737,0.24593267150509737,0.07154275150698047,6731.765860323905,47.843967993838405,33.8356667726313
29,"г.Калуга, Калужского Ополчения ул., 2",калуга,Калужская область,4.0,1.8,0.0,7.0,1.0,1834.0,10100,3204,324698,0,0,0.0,423321,3.15230961298377,"[54.603305, 36.267333, '11']",0.3976464958578508,0.3976464958578508,2.793078778417612,6738.926745729501,55.33763116854272,43.96734545188839
30,"г.Калуга, Социалистическая ул., 11",калуга,Калужская область,4.0,2.1,0.0,9.0,1.0,4219.0,10071,3067,324698,1,0,0.0,423321,3.2836648190414084,"[54.533853, 36.256795, '11']",0.7677643251955992,0.7677643251955992,0.9105403309977689,6732.430875832288,50.50923154258959,36.41408728299173
31,"г.Тула, Революции ул., 22",тула,Тульская область,3.0,,1.0,,,7395.0,10048,3015,482873,0,0,0.0,387679,3.332669983416252,"[54.192938, 37.589087, '10']",0.6392056435512202,0.6392056435512202,0.5107216366931242,6772.821072825075,1.2392640760324478,0.1377004946088698
32,"г.Новомосковск, Калинина ул., 14",новомосковск,Тульская область,,1.8,,7.0,1.0,4608.0,10059,3055,131386,1,1,0.0,387679,3.2926350245499183,"[54.008051, 38.304748, '01']",0.9002413781156452,0.9002413781156452,0.3842659327055051,6795.5690173967805,2.289487331963495,0.6798473357054059
33,"г.Тула, Калужское ш., 2",тула,Тульская область,,,,,,3971.0,10094,3096,482873,1,0,0.0,387679,3.2603359173126614,"[54.157549, 37.582152, '00']",0.1901242456103061,0.38741471384725523,0.15939042667964623,6769.481800054777,4.527285621529432,0.2153127718348941
34,"г.Калуга, Дзержинского ул., 38",калуга,Калужская область,,,,,,3148.0,10053,3083,324698,1,0,0.0,423321,3.2607849497242944,"[54.512967, 36.25251, '00']",0.5260109465403303,0.6001469583738959,0.1943642478878733,6730.420584577441,49.26084438518397,34.173120968651894
35,"г.Обнинск, Курчатова ул., 26 А",обнинск,Калужская область,,1.3,,9.0,1.0,2929.0,10098,3243,104739,0,0,0.0,423321,3.1137835337650324,"[55.106304, 36.615394, '01']",0.8724092487737461,0.8724092487737461,1.1054858689656606,6799.806661594102,55.57670705438291,51.784084106924425
36,"г.Щекино, Мира ул., 16",щёкино,Тульская область,2.0,,0.0,,,5212.0,10096,3185,58139,0,0,0.0,387679,3.1698587127158557,"[54.024013, 37.494045, '10']",0.2523516217091589,0.2523516217091589,2.0070662484208865,6753.599618532255,0.06582134571895823,0.039046409957779735
